frame_no,image_anomaly,component,component_anomaly,image_fullname,se_filenmae,colors_found,colors_in_component,time_load_t,time_component_t,time_full_t,time_load_total_dt,time_component_total_dt,time_full_dt
0000,NORMAL,PLeft,NORMAL,1751540057414289200_0000_10000010000000000,1751540057411397400_0000_10000010000000000,16,10,0.07758855819702148,0.03427004814147949,0.11185860633850098,0:00:00.077588,0:00:00.034270,0:00:00.111858
0000,NORMAL,ConvBelt,NORMAL,1751540057414289200_0000_10000010000000000,1751540057411397400_0000_10000010000000000,16,12,0.07758855819702148,0.04214143753051758,0.11972999572753906,0:00:00.077588,0:00:00.042142,0:00:00.119730
0000,NORMAL,PRight,NORMAL,1751540057414289200_0000_10000010000000000,1751540057411397400_0000_10000010000000000,16,12,0.07758855819702148,0.037592172622680664,0.11518073081970215,0:00:00.077588,0:00:00.037592,0:00:00.115180
0000,NORMAL,RoboArm,NORMAL,1751540057414289200_0000_10000010000000000,1751540057411397400_0000_10000010000000000,16,12,0.07758855819702148,0.04561924934387207,0.12320780754089355,0:00:00.077588,0:00:00.045619,0:00:00.123207
0001,NORMAL,PLeft,NORMAL,1751540057618711700_0001_10000010000000000,1751540057635425300_0001_10000010000000000,16,10,0.07066774368286133,0.035463571548461914,0.10613131523132324,0:00:00.070667,0:00:00.036473,0:00:00.107140
0001,NORMAL,ConvBelt,NORMAL,1751540057618711700_0001_10000010000000000,1751540057635425300_0001_10000010000000000,16,12,0.07066774368286133,0.03612971305847168,0.10679745674133301,0:00:00.070667,0:00:00.036130,0:00:00.106797
0001,NORMAL,PRight,NORMAL,1751540057618711700_0001_10000010000000000,1751540057635425300_0001_10000010000000000,16,12,0.07066774368286133,0.04155874252319336,0.11222648620605469,0:00:00.070667,0:00:00.041559,0:00:00.112226
0001,NORMAL,RoboArm,NORMAL,1751540057618711700_0001_10000010000000000,1751540057635425300_0001_10000010000000000,16,12,0.07066774368286133,0.03951430320739746,0.11018204689025879,0:00:00.070667,0:00:00.039515,0:00:00.110182
0002,NORMAL,PLeft,NORMAL,1751540057814921500_0002_10000010000000000,1751540057834628600_0002_10000010000000000,16,10,0.07588458061218262,0.035059452056884766,0.11094403266906738,0:00:00.075885,0:00:00.035059,0:00:00.110944
0002,NORMAL,ConvBelt,NORMAL,1751540057814921500_0002_10000010000000000,1751540057834628600_0002_10000010000000000,16,12,0.07588458061218262,0.03492927551269531,0.11081385612487793,0:00:00.075885,0:00:00.034929,0:00:00.110814
0002,NORMAL,PRight,NORMAL,1751540057814921500_0002_10000010000000000,1751540057834628600_0002_10000010000000000,16,12,0.07588458061218262,0.034989118576049805,0.11087369918823242,0:00:00.075885,0:00:00.034989,0:00:00.110874
0002,NORMAL,RoboArm,NORMAL,1751540057814921500_0002_10000010000000000,1751540057834628600_0002_10000010000000000,16,12,0.07588458061218262,0.030659914016723633,0.10654449462890625,0:00:00.075885,0:00:00.030660,0:00:00.106545
0003,NORMAL,PLeft,NORMAL,1751540058016968900_0003_10000010000000000,1751540058033676000_0003_10000010000000000,16,10,0.07205581665039062,0.035737037658691406,0.10779285430908203,0:00:00.072056,0:00:00.035737,0:00:00.107793
0003,NORMAL,ConvBelt,NORMAL,1751540058016968900_0003_10000010000000000,1751540058033676000_0003_10000010000000000,16,12,0.07205581665039062,0.04257512092590332,0.11463093757629395,0:00:00.072056,0:00:00.042575,0:00:00.114631
0003,NORMAL,PRight,NORMAL,1751540058016968900_0003_10000010000000000,1751540058033676000_0003_10000010000000000,16,12,0.07205581665039062,0.03898954391479492,0.11104536056518555,0:00:00.072056,0:00:00.038990,0:00:00.111046
0003,NORMAL,RoboArm,NORMAL,1751540058016968900_0003_10000010000000000,1751540058033676000_0003_10000010000000000,16,12,0.07205581665039062,0.037259578704833984,0.10931539535522461,0:00:00.072056,0:00:00.037259,0:00:00.109315
0004,NORMAL,PLeft,NORMAL,1751540058225298700_0004_10000010000000000,1751540058233467300_0004_10000010000000000,16,10,0.07034468650817871,0.04108262062072754,0.11142730712890625,0:00:00.070344,0:00:00.041083,0:00:00.111427
0004,NORMAL,ConvBelt,NORMAL,1751540058225298700_0004_10000010000000000,1751540058233467300_0004_10000010000000000,16,12,0.07034468650817871,0.04157376289367676,0.11191844940185547,0:00:00.070344,0:00:00.041574,0:00:00.111918
0004,NORMAL,PRight,NORMAL,1751540058225298700_0004_10000010000000000,1751540058233467300_0004_10000010000000000,16,12,0.07034468650817871,0.04174947738647461,0.11209416389465332,0:00:00.070344,0:00:00.041750,0:00:00.112094
0004,NORMAL,RoboArm,NORMAL,1751540058225298700_0004_10000010000000000,1751540058233467300_0004_10000010000000000,16,12,0.07034468650817871,0.031899213790893555,0.10224390029907227,0:00:00.070344,0:00:00.031899,0:00:00.102243
0005,NORMAL,PLeft,NORMAL,1751540058398410400_0005_10000010000000000,1751540058439275400_0005_10000010000000000,16,10,0.07854318618774414,0.03460383415222168,0.11314702033996582,0:00:00.078543,0:00:00.034604,0:00:00.113147
0005,NORMAL,ConvBelt,NORMAL,1751540058398410400_0005_10000010000000000,1751540058439275400_0005_10000010000000000,16,12,0.07854318618774414,0.04535055160522461,0.12389373779296875,0:00:00.078543,0:00:00.045350,0:00:00.123893
0005,NORMAL,PRight,NORMAL,1751540058398410400_0005_10000010000000000,1751540058439275400_0005_10000010000000000,16,12,0.07854318618774414,0.037157297134399414,0.11570048332214355,0:00:00.078543,0:00:00.037158,0:00:00.115701
0005,NORMAL,RoboArm,NORMAL,1751540058398410400_0005_10000010000000000,1751540058439275400_0005_10000010000000000,16,12,0.07854318618774414,0.039240360260009766,0.1177835464477539,0:00:00.078543,0:00:00.039240,0:00:00.117783
0006,NORMAL,PLeft,NORMAL,1751540058609105900_0006_10000010000000000,1751540058627141900_0006_10000010000000000,16,10,0.08135843276977539,0.03328084945678711,0.1146392822265625,0:00:00.081359,0:00:00.033281,0:00:00.114640
